ID_COMPTE;CHOC_TYPE;CHOC_IDX;RESERVE_BE;CAPITAL_REQ;SCR
77;BASE;0;-3.971771;-3.901579;0.0701921
77;SP500_SHOCK;1;-3.9447098;-3.9285042;0.01620555
77;TSX_SHOCK;2;-3.9631562;-3.9078355;0.05532074
77;EAFE_SHOCK;3;-3.9705477;-3.9024446;0.068103075
77;DEX_SHOCK;4;-3.9703276;-3.902892;0.0674355
78;BASE;0;-102.31093;-100.170616;2.1403122
78;SP500_SHOCK;1;-101.97672;-100.23039;1.7463303
78;TSX_SHOCK;2;-102.23146;-100.18548;2.0459824
78;EAFE_SHOCK;3;-102.11495;-100.19677;1.9181824
78;DEX_SHOCK;4;-102.05995;-100.30676;1.7531891
79;BASE;0;-37.114307;-44.47046;-7.3561516
79;SP500_SHOCK;1;-37.47258;-45.099113;-7.6265335
79;TSX_SHOCK;2;-37.23789;-44.690277;-7.452389
79;EAFE_SHOCK;3;-37.425365;-45.01807;-7.592705
79;DEX_SHOCK;4;-37.359478;-44.869797;-7.5103188
80;BASE;0;-40.853874;-39.96883;0.8850441
80;SP500_SHOCK;1;-40.754242;-39.916527;0.83771515
80;TSX_SHOCK;2;-40.781998;-39.91809;0.86390686
80;EAFE_SHOCK;3;-40.813995;-39.94289;0.8711052
80;DEX_SHOCK;4;-40.801933;-39.965603;0.8363304
81;BASE;0;-56.342175;-54.055664;2.2865105
81;SP500_SHOCK;1;-55.95747;-54.127243;1.8302269
81;TSX_SHOCK;2;-56.273212;-54.062824;2.2103882
81;EAFE_SHOCK;3;-56.186676;-54.074493;2.1121826
81;DEX_SHOCK;4;-56.124268;-54.133274;1.9909935
82;BASE;0;-106.78246;-88.0226;18.759865
82;SP500_SHOCK;1;-105.2615;-87.50502;17.756477
82;TSX_SHOCK;2;-104.37706;-86.8696;17.507462
82;EAFE_SHOCK;3;-106.22457;-87.81115;18.413422
82;DEX_SHOCK;4;-105.98506;-87.84726;18.137802
83;BASE;0;-117.5223;-116.19044;1.3318634
83;SP500_SHOCK;1;-117.362625;-116.22856;1.1340637
83;TSX_SHOCK;2;-117.217575;-116.074875;1.1427002
83;EAFE_SHOCK;3;-117.51772;-116.19083;1.3268967
83;DEX_SHOCK;4;-117.40891;-116.31734;1.0915756
84;BASE;0;-117.7282;-119.57275;-1.8445435
84;SP500_SHOCK;1;-117.72665;-119.6211;-1.894455
84;TSX_SHOCK;2;-117.50554;-119.79781;-2.2922745
84;EAFE_SHOCK;3;-117.72226;-119.6361;-1.9138412
84;DEX_SHOCK;4;-117.76255;-120.031715;-2.269165
85;BASE;0;-15.543941;-63.332737;-47.788795
85;SP500_SHOCK;1;-17.79133;-70.38139;-52.590065
85;TSX_SHOCK;2;-15.9556465;-64.711;-48.755352
85;EAFE_SHOCK;3;-16.103228;-65.21092;-49.107697
85;DEX_SHOCK;4;-17.058802;-67.80423;-50.74543
86;BASE;0;-95.51815;-89.70345;5.8146973
86;SP500_SHOCK;1;-94.93704;-89.61094;5.326103
86;TSX_SHOCK;2;-95.037346;-89.55033;5.487015
86;EAFE_SHOCK;3;-95.29543;-89.65274;5.6426926
86;DEX_SHOCK;4;-94.669266;-89.766655;4.902611
87;BASE;0;-19.132938;-20.829506;-1.6965675
87;SP500_SHOCK;1;-19.232897;-21.18664;-1.953743
87;TSX_SHOCK;2;-19.183895;-21.04496;-1.8610649
87;EAFE_SHOCK;3;-19.137915;-20.857134;-1.7192192
87;DEX_SHOCK;4;-19.152958;-20.896023;-1.7430649
88;BASE;0;-92.21445;-95.795845;-3.581398
88;SP500_SHOCK;1;-92.392525;-96.62678;-4.234253
88;TSX_SHOCK;2;-92.25765;-95.987816;-3.7301636
88;EAFE_SHOCK;3;-92.23546;-95.89755;-3.662094
88;DEX_SHOCK;4;-92.30294;-96.04225;-3.7393112
89;BASE;0;-44.44029;-45.968983;-1.5286942
89;SP500_SHOCK;1;-44.45551;-46.089195;-1.6336861
