ID_COMPTE;DELTA_SP500_RESERVE;DELTA_TSX_RESERVE;DELTA_EAFE_RESERVE;DELTA_DEX_RESERVE;DELTA_SP500_CAPITAL;DELTA_TSX_CAPITAL;DELTA_EAFE_CAPITAL;DELTA_DEX_CAPITAL
109;-1.2442131;-0.064582825;-0.111328125;-0.076244354;-3.7632027;-0.2333374;-0.4066162;-0.22902298
110;0.09996796;0.040050507;0.045650482;-0.019294739;-2.6491013;-0.68195343;-0.6214905;-0.28146362
111;0.0;-0.03738308;0.0;0.0;0.0;-0.024302483;0.0;0.0
112;0.0;-0.031784058;0.0;0.0;0.0;-0.020658374;0.0;0.0
113;0.0;-0.12078953;0.0;0.0;0.0;-0.078514576;0.0;0.0
114;0.0;-0.42089462;-0.15400696;0.0;0.0;-0.27383423;-0.100162506;0.0
115;0.0;0.0;-1.4940968;0.0;0.0;0.0;-0.9752312;0.0
116;0.0;-0.008921146;0.0;0.0;0.0;-0.0057959557;0.0;0.0
117;0.05531311;0.044059753;0.033187866;0.06906891;-0.04962921;-0.022842407;-0.02507782;-0.106552124
118;-0.19097519;-0.052829742;-0.028656006;-0.20701218;-0.59446716;-0.14523315;-0.08357239;-0.60730743
119;-0.64694786;-0.12576675;-0.15158272;-0.66415596;-1.2635269;-0.26651192;-0.31847382;-1.2274799
120;0.0039596558;0.011684418;0.01096344;0.026060104;-0.0038318634;-0.011325836;-0.013393402;-0.04886055
121;-0.27742767;-0.13903046;-0.05014801;-0.10072327;-0.4915619;-0.23323822;-0.08433533;-0.17266083
122;0.71977234;4.6035004;1.0771179;0.58384705;0.21678162;2.2622223;0.35466003;-0.0766449
123;2.3136444;1.1164322;0.22196198;0.1088562;0.13648224;0.19503784;0.029045105;-0.014549255
124;0.04182625;0.038503647;0.016950607;0.044376373;-0.25877762;-0.17925072;-0.089258194;-0.48212814
125;0.032562256;0.09764099;0.09013367;0.21768951;0.0038070679;0.026985168;0.012031555;-0.05329132
126;-0.20266724;-0.07475281;-0.02765274;-0.31339645;-0.7911873;-0.34889984;-0.11596298;-0.9670105
127;-0.5150113;-2.3553271;-1.189961;-2.7897925;-0.6620865;-2.763401;-1.4875336;-3.7571144
128;0.0016517639;0.004802704;0.0010147095;-0.027599335;-0.035476685;-0.012382507;-0.009239197;-0.12644577
129;0.07853699;0.08869934;0.0019989014;0.0086631775;-0.14896393;-0.08380127;-0.0036239624;-0.03691101
130;-6.883213;-0.8585663;-1.4319038;-1.6105042;-4.788276;-0.599174;-0.9958463;-1.1578221
131;-1.0335579;-1.7944794;-0.6120796;-1.0045776;-0.6451111;-1.154047;-0.38570404;-0.6213207
132;-0.09439087;-0.027786255;-0.015563965;-0.06259918;-0.34727478;-0.077186584;-0.050476074;-0.14945221
133;-0.18862915;-0.085422516;-0.0587101;-0.124874115;-1.2380066;-0.6394558;-0.4221897;-0.7327976
134;-0.45205688;-0.31661987;-0.3028412;-0.50315857;-0.40065765;-0.27596283;-0.26813507;-0.45264435
