forward_rate,AJUST_FORWARD_RATE_VM_0,rendDEX_an,rendMM_an,rendTSX_an,rendSP500_an,rendEAFE_an,an_eval_int,mois_eval,scn_eval_int
0.0475379436,0,-0.168844629,0.1527794762,-0.049687687,0.0004985868,-0.181550889,47,12,2
0.0475379436,0,-0.073948202,-0.136652986,0.0001487513,0.2416062896,0.0278603259,48,12,2
0.0475379436,0,-0.007307532,-0.069064135,-0.014094565,-0.17042445,-0.039126234,49,12,2
0.0475379436,0,0.1101386266,0.0941510789,-0.375848189,0.1263390618,-0.06880701,50,12,2
0.0475379436,0,-0.097516056,0.0610845676,-0.065693944,-0.297013924,-0.011562215,51,12,2
0.0475379436,0,0.0146606619,-0.175874813,-0.225027133,-0.19397302,-0.248589623,52,12,2
0.0475379436,0,0.1014863143,0.1877364435,-0.19707977,0.154970711,-0.092554291,53,12,2
0.0475379436,0,0.2324235245,0.1233616988,-0.770893276,0.0405015781,-0.042832703,54,12,2
0.0475379436,0,-0.089346627,-0.044715019,-0.312513745,0.1847738656,-0.187470029,55,12,2
0.0475379436,0,0.1905946952,0.0717846643,-0.066589554,0.7785087268,0.3498282598,56,12,2
0.0475379436,0,0.0438788608,0.1647975938,-0.356071355,-0.478141141,-0.43131077,57,12,2
0.0475379436,0,0.2481342435,-0.061822973,0.2903730049,0.0329367199,-0.043504708,58,12,2
0.0475379436,0,0.0792675631,0.0869820073,-0.122104461,-0.285764371,0.0155179774,59,12,2
0.0475379436,0,0.1309782379,0.2081781981,-0.69436306,-0.408860099,-0.278712607,60,12,2
0.0475379436,0,-0.110851506,0.0721087867,0.0956028917,0.3543510739,0.4897471479,61,12,2
0.0475379436,0,-0.012178023,-0.022022514,-0.572877158,-0.353011051,-0.351080031,62,12,2
0.0475379436,0,-0.070408193,-0.229542163,-0.027831982,0.1818569582,0.3608355695,63,12,2
0.0475379436,0,0.1286529262,0.0007121593,0.1629870515,0.3483960867,0.3054190493,64,12,2
0.0475379436,0,-0.144930909,0.1571447389,0.2537097676,-0.07362907,0.1384543268,65,12,2
0.0475379436,0,0.0094643928,0.0916690684,-0.083616363,-0.137069959,-0.255200129,66,12,2
0.0475379436,0,0.1644725758,0.0441235634,-0.536403728,-0.003062699,-0.106831897,67,12,2
0.0475379436,0,-0.145224249,-0.026274552,-0.007839709,0.2371998997,0.0769044585,68,12,2
0.0475379436,0,0.0423741752,0.144951897,0.1512573024,-0.231445432,0.0980176994,69,12,2
0.0475379436,0,0.1136471274,0.1523526864,-0.018702379,-0.059999216,-0.138496686,70,12,2
0.0475379436,0,-0.100817326,0.2539052046,-0.392939409,-0.279259995,-0.009376883,71,12,2
0.0475379436,0,-0.393470887,-0.081903656,-0.033743136,-0.191370585,-0.005248539,72,12,2
0.0475379436,0,-0.043145851,-0.095203388,-0.107565454,-0.209183072,0.0788642251,73,12,2
0.0475379436,0,-0.000293567,0.0054736172,0.454338374,0.0730983775,-0.161858539,74,12,2
0.0475379436,0,0.1272924296,0.1620867622,0.1929567769,0.0369830429,0.4190773826,75,12,2
0.0475379436,0,-0.218175405,0.0504368197,-0.71429259,-0.291756858,-0.33170935,76,12,2
0.0475379436,0,-0.082169181,0.0152275896,0.2066973361,0.2237610253,-0.033968094,77,12,2
0.0475379436,0,-0.153829869,0.0558841091,-0.158553445,-0.253100572,-0.351517624,78,12,2
0.0475379436,0,0.2005018065,-0.06431263,0.52299431,0.1307199597,0.3428327365,79,12,2
0.0475379436,0,-0.198319833,0.0925515973,0.1746195397,0.1601551756,-0.231688907,80,12,2
0.0475379436,0,0.0485731139,0.0326820682,0.2866660119,0.0266880227,-0.009538061,81,12,2
0.0475379436,0,-0.022638048,0.0806972022,-0.476122068,0.0092627142,-0.119346961,82,12,2
0.0475379436,0,-0.115649801,0.1582855485,-0.441416665,-0.149189008,0.1485336987,83,12,2
0.0475379436,0,0.0219810074,0.0640243914,0.029341747,-0.515786534,-0.381396025,84,12,2
0.0475379436,0,-0.022932664,-0.121460331,0.3340702788,0.2555074039,0.3573812081,85,12,2
0.0475379436,0,-0.224395346,-0.016888453,-0.529200453,0.0218777631,-0.012017856,86,12,2
0.0475379436,0,0.1359261376,0.1050296779,0.1947614637,-0.192590287,-0.326219257,87,12,2
0.0475379436,0,0.1124340294,0.0253849344,-0.015824547,-0.193747302,0.0506503627,88,12,2
0.0475379436,0,0.0419849074,0.1034793555,0.1381189447,-0.08055324,-0.023522902,89,12,2
0.0475379436,0,0.1361840847,0.072401834,0.4333519965,-0.251009286,-0.06738919,90,12,2
0.0475379436,0,-0.143756301,0.0770149159,-0.539281184,-0.000554382,-0.09797828,91,12,2
0.0475379436,0,-0.131319147,-0.042423693,-0.122093235,0.2041311121,-0.270534073,92,12,2
0.0475379436,0,-0.054874888,-0.055259612,-0.002965906,0.0800569323,-0.124838439,93,12,2
0.0475379436,0,0.1481388102,0.0641424401,0.3563712844,-0.236372609,-0.374022404,94,12,2
0.0475379436,0,-0.116116678,-0.012279603,-0.288638084,0.0465032527,-0.083883188,95,12,2
0.0475379436,0,0.3705446302,0.222553559,0.3786278307,0.674755349,0.2893506678,96,12,2
0.0475379436,0,-0.017255926,0.0137267388,0.4771941358,-0.287972225,-0.098465438,97,12,2
0.0475379436,0,0.1131421114,0.1881493398,0.0467873753,0.0119201551,0.1926391407,98,12,2
0.0475379436,0,0.1604115361,0.0990377757,-0.250286502,-0.012973136,0.223310258,99,12,2
0.0475379436,0,0.2527522109,0.1168294568,-0.063355405,0.6162786397,0.5544071429,100,12,2
0,0,0,0,0,0,0,0,12,3
0.002788338,0,0.0344857678,-0.005479496,-0.007232353,-0.046889167,-0.0301578,1,12,3
