ID_COMPTE,scn_eval,VP_FLUX_DISTRIBUABLES
2.0,8,-37723.88197639337
2.0,9,-39637.930659879996
2.0,10,-43076.576736758245
2.0,11,-39965.449125200284
2.0,12,-35922.532788913944
2.0,13,-40562.59111818005
2.0,14,-39637.18122425732
2.0,15,-42979.305139911216
2.0,16,-35655.203333227175
2.0,17,-46507.05803367532
2.0,18,-36969.11440837522
2.0,19,-37683.125213396066
2.0,20,-46812.2852049159
2.0,21,-34604.30760081008
2.0,22,-38515.15228106328
2.0,23,-36650.674064442625
2.0,24,-38037.31455179893
2.0,25,-38342.70025353562
2.0,26,-40228.730794052026
2.0,27,-38760.88489243878
2.0,28,-36163.80459639078
2.0,29,-47414.02573001268
2.0,30,-37688.373716383125
2.0,31,-40919.46121506516
2.0,32,-34956.89336132699
2.0,33,-40945.82661807945
2.0,34,-38004.37133847298
2.0,35,-36882.280703157034
2.0,36,-35930.540068008115
2.0,37,-37583.0278262549
2.0,38,-39912.29703959844
2.0,39,-39569.52279745278
2.0,40,-37730.841325931295
2.0,41,-41349.328112977375
2.0,42,-37041.47954239712
2.0,43,-35900.05309317705
2.0,44,-38839.95410701325
2.0,45,-41180.38425599422
2.0,46,-36949.515993068075
2.0,47,-37536.0715492119
2.0,48,-39154.2183789632
2.0,49,-38590.38110792843
2.0,50,-38953.77632224612
2.0,51,-38897.999607068145
2.0,52,-37803.77226125368
2.0,53,-37401.76382622936
2.0,54,-50656.852132933906
2.0,55,-38482.046117095386
2.0,56,-38784.26121831165
2.0,57,-36951.182717702
2.0,58,-38790.09862511873
2.0,59,-42025.45968279233
2.0,60,-37448.83124331998
2.0,61,-41625.06101694872
2.0,62,-36027.41863269699
2.0,63,-39885.44680373739
2.0,64,-40148.7522623933
2.0,65,-41496.29685414231
2.0,66,-38095.95882164263
2.0,67,-36362.99343053748
2.0,68,-42818.618063341324
2.0,69,-49648.859377336135
2.0,70,-37081.59650112379
2.0,71,-41580.44099448801
2.0,72,-36207.91374603165
2.0,73,-46235.21139365378
2.0,74,-40232.93140019332
2.0,75,-41149.70985991688
2.0,76,-37443.96983278865
2.0,77,-38321.77698622689
2.0,78,-44248.51845777955
2.0,79,-43137.47794992667
2.0,80,-39376.204087597005
2.0,81,-37087.86452887089
2.0,82,-38558.696894461864
2.0,83,-36406.66318078228
2.0,84,-35760.170894813855
