AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT
73;11;0.0;-3.6436639923504485e-07;0.0;0.0;0.0;0.0;0.001065170125055997;-0.0037158560448089847;-0.0001523723238966979;-0.00038861201156189265;2.116634061401119;-0.0011690170404512195;-0.0006636465938054338;-0.006049683895207807;-0.00041358677518794185;-0.0020564862017280255;-0.0007683154736356131;0.0
73;12;0.0;-3.6757019307563434e-07;0.0;0.0;0.0;0.0;0.0010426394305393118;-0.0036484004608926036;-0.0001490451263587889;-0.0003804105846741288;2.0711279645413843;-0.0011447695612236887;-0.0006488693298060293;-0.0059238602022784045;-0.0004039591690691532;-0.0020009490644662046;-0.0007514286289872821;0.0
74;1;0.0;-3.3783871482144044e-07;0.0;0.0;0.0;0.0;0.001020960056632991;-0.002943561661883173;-0.00014582704026651838;-0.0003725220084817505;2.027256541716134;-0.0011215480485200443;-0.0006345211167411078;-0.005807532021267018;-0.00039487999936166536;-0.00194698817470766;-0.000735031157522798;0.0
74;2;0.0;-3.4309139138503153e-07;0.0;0.0;0.0;0.0;0.0009973283576472953;-0.0028989164677397814;-0.00014234797884549432;-0.0003639178914827057;1.9796174680412502;-0.0010960818772655897;-0.0006191120140460412;-0.005684964025066706;-0.0003856165231044708;-0.0018945306174353604;-0.0007174434508472082;0.0
74;3;0.0;-3.3629309159318214e-07;0.0;0.0;0.0;0.0;0.0009722824300409234;-0.0028551245574010365;-0.000138690076394073;-0.00035479363062393437;1.9293300025334819;-0.0010689518151513965;-0.0006030134083682134;-0.005555641192503628;-0.0003761418664343895;-0.0018435312541640325;-0.0006990829580355753;0.0
74;4;0.0;-3.352049516123188e-07;0.0;0.0;0.0;0.0;0.0009473789350193834;-0.002812111863720439;-0.00013505126996806713;-0.0003457215622366858;1.8793163690711399;-0.0010419837390398547;-0.000586993541455538;-0.005430076415653913;-0.00036694061471750043;-0.0017939452604911195;-0.0006808134898217701;0.0
74;5;0.0;-3.332920327894578e-07;0.0;0.0;0.0;0.0;0.0009245764208951223;-0.00276979549374986;-0.00013169469511494059;-0.000337419271187433;1.8329183668707858;-0.0010171797764145045;-0.000571987126322554;-0.005316184090799602;-0.0003583490145110776;-0.0017453423774375283;-0.0006636867811795134;0.0
74;6;0.0;-8.563644676600079e-07;0.0;0.0;0.0;0.0;0.000900144483930602;-0.0027280573783972735;-0.0001281504175046308;-0.0003285144178244534;1.7838613052037133;-0.0009904223766421653;-0.0005564601100959606;-0.005184587948505621;-0.0003490316392284273;-0.0016977728004771131;-0.0006459393831301541;0.0
74;7;0.0;-8.494775476841339e-07;0.0;0.0;0.0;0.0;0.00087712452946228;-0.0026828901475083027;-0.00012480579143198228;-0.0003201251217395639;1.737775159058967;-0.0009654124495609704;-0.0005417863956909034;-0.005062556726718678;-0.0003402502309825737;-0.001651534192207891;-0.0006291557557129152;0.0
74;8;0.0;-8.184710559295377e-07;0.0;0.0;0.0;0.0;0.0008537748438058235;-0.00263854789342767;-0.0001214257012003624;-0.0003116134415615029;1.691114929534008;-0.0009399853044518393;-0.0005270010454598026;-0.004939045179437579;-0.00033148995376440683;-0.0016065884207667777;-0.0006122502497940112;0.0
74;9;0.0;-7.981345468875366e-07;0.0;0.0;0.0;0.0;0.000833974504961548;-0.00259501753373198;-0.00011851594765865763;-0.0003044033561361635;1.6512465148605031;-0.0009186290322532232;-0.0005141153252458535;-0.0048363801943315955;-0.00032378354535539465;-0.0015628991964311899;-0.0005974855352274086;0.0
